,TP,FP,TN,FN,,Total,Specificity,Sensitivity,False Positive Rate,Distance,,Min
11,151,,,,,1262,,,,,,0.265639755
89,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
88,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
87,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
86,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
85,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
84,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
83,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
82,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
81,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
80,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
79,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
78,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
77,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
76,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
75,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
74,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
73,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
72,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
71,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
70,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
69,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
68,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
67,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
66,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
65,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
64,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
63,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
62,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
61,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
60,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
59,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
58,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
57,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
56,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
55,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
54,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
53,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
52,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
51,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
50,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
