TIME,ACCX,ACCY,ACCZ,PITCH,ROLL,YAW
13.450000,0.000004,0.000003,0.007384,0.000020,0.000018,0.000009,
13.500000,0.000004,0.000003,0.007381,0.000027,0.000036,0.000010,
13.550000,0.000004,0.000002,0.007385,0.000025,0.000043,0.000012,
13.600000,0.000003,0.000002,0.007387,0.000024,0.000044,0.000014,
13.650000,0.000003,0.000002,0.007390,0.000018,0.000041,0.000019,
13.700000,0.000003,0.000002,0.007395,0.000021,0.000047,0.000028,
13.750000,0.000001,0.000001,0.007396,0.000018,0.000047,0.000027,
13.800000,0.000002,0.000001,0.007390,0.000015,0.000053,0.000022,
13.850000,0.000002,0.000001,0.007379,0.000020,0.000052,0.000024,
13.900000,0.000002,0.000001,0.007376,0.000024,0.000049,0.000024,
13.950000,0.000002,0.000002,0.007371,0.000027,0.000047,0.000023,
14.000000,0.000003,0.000002,0.007371,0.000023,0.000025,0.000021,
14.050000,0.000004,0.000002,0.007371,0.000027,0.000046,0.000015,
14.100000,0.000004,0.000003,0.007363,0.000027,0.000045,0.000017,
14.150000,0.000004,0.000003,0.007353,0.000052,0.000086,0.000016,
14.200000,0.000012,0.000011,0.007341,0.000089,0.000132,0.000015,
14.250000,0.000264,0.000011,0.007339,0.000244,0.000278,0.000047,
14.300000,0.000294,0.000015,0.007351,0.000239,0.000263,0.000125,
14.350000,0.001359,0.000015,0.007355,0.000270,0.000326,0.003188,
14.400000,0.001833,0.000047,0.007359,0.000324,0.000328,0.004531,
14.450000,0.002834,0.000047,0.007348,0.000388,0.000362,0.004491,
14.500000,0.002672,0.000057,0.007348,0.000387,0.000651,0.004436,
14.550000,0.002412,0.000195,0.007350,0.000464,0.000679,0.004672,
14.600000,0.002277,0.000467,0.007357,0.000611,0.000700,0.009829,
14.650000,0.002082,0.000688,0.007353,0.000771,0.001424,0.010862,
14.700000,0.002020,0.000690,0.007359,0.000665,0.002352,0.012069,
14.750000,0.002379,0.000715,0.007353,0.000409,0.002746,0.014013,
14.800000,0.002441,0.000722,0.007354,0.000472,0.002817,0.014218,
14.850000,0.002524,0.000721,0.007351,0.000598,0.004928,0.010583,
14.900000,0.002233,0.000663,0.007343,0.000646,0.005394,0.007266,
14.950000,0.001081,0.000666,0.007350,0.000630,0.006688,0.005551,
15.000000,0.000881,0.000625,0.007348,0.000751,0.008954,0.006349,
15.050000,0.000837,0.000506,0.007336,0.000738,0.011057,0.006370,
15.100000,0.000844,0.000391,0.007333,0.000681,0.010984,0.004857,
15.150000,0.000881,0.000204,0.007342,0.000541,0.010520,0.004817,
15.200000,0.000973,0.000348,0.007347,0.000561,0.009615,0.004830,
15.250000,0.001020,0.000330,0.007349,0.000554,0.009865,0.003944,
15.300000,0.001161,0.000329,0.007339,0.000483,0.009914,0.004278,
15.350000,0.001034,0.000402,0.007336,0.000337,0.010433,0.004482,
15.400000,0.001322,0.000393,0.007348,0.000307,0.009554,0.004309,
15.450000,0.001396,0.000397,0.007347,0.000293,0.009206,0.003604,
15.500000,0.001091,0.000377,0.007347,0.000215,0.007307,0.003252,
15.550000,0.001103,0.000275,0.007350,0.000330,0.004702,0.003327,
15.600000,0.001003,0.000265,0.007348,0.000313,0.004747,0.002385,
15.650000,0.000705,0.000266,0.007336,0.000267,0.004118,0.001969,
15.700000,0.000964,0.000206,0.007331,0.000243,0.004350,0.002131,
15.750000,0.001197,0.000319,0.007331,0.000214,0.002761,0.004114,
15.800000,0.001417,0.000293,0.007340,0.000225,0.002657,0.004035,
15.850000,0.001317,0.000252,0.007338,0.000227,0.001057,0.002075,
15.900000,0.001167,0.000250,0.007349,0.000240,0.000535,0.002125,
15.950000,0.003955,0.001113,0.007353,0.000197,0.001319,0.003130,
16.000000,0.003866,0.001105,0.007357,0.000206,0.001341,0.003080,
16.049999,0.003794,0.001118,0.007359,0.000147,0.001273,0.003031,
16.100000,0.003795,0.001120,0.007379,0.000156,0.001264,0.002791,
16.150000,0.003721,0.001133,0.007380,0.000156,0.001238,0.002815,
16.200001,0.002941,0.001063,0.007397,0.000149,0.001085,0.002753,
16.250000,0.001859,0.000909,0.007395,0.000129,0.001063,0.000708,
16.299999,0.001872,0.000901,0.007401,0.000061,0.001097,0.000638,
16.350000,0.001889,0.000906,0.007405,0.000070,0.001089,0.000630,
16.400000,0.001884,0.000905,0.007393,0.000049,0.001049,0.000634,
16.450001,0.000003,0.000002,0.007390,0.000048,0.000098,0.000022,
16.500000,0.000003,0.000002,0.007391,0.000019,0.000031,0.000031,
16.549999,0.000003,0.000002,0.007390,0.000029,0.000045,0.000032,
16.600000,0.000003,0.000003,0.007374,0.000029,0.000042,0.000033,
16.650000,0.000002,0.000003,0.007390,0.000029,0.000035,0.000033,
16.700001,0.000002,0.000003,0.007374,0.000029,0.000045,0.000030,
16.750000,0.000002,0.000003,0.007374,0.000030,0.000048,0.000034,
16.799999,0.000002,0.000002,0.007365,0.000029,0.000053,0.000029,
16.850000,0.000002,0.000002,0.007360,0.000024,0.000046,0.000028,
16.900000,0.000003,0.000002,0.007360,0.000025,0.000051,0.000026,
16.950001,0.000003,0.000002,0.007370,0.000026,0.000051,0.000028,
17.000000,0.000003,0.000002,0.007373,0.000018,0.000050,0.000012,
17.049999,0.000003,0.000002,0.007376,0.000017,0.000035,0.000016,
17.100000,0.000004,0.000001,0.007380,0.000016,0.000037,0.000022,
17.150000,0.000004,0.000001,0.007369,0.000017,0.000029,0.000022,
17.200001,0.000004,0.000001,0.007373,0.000019,0.000024,0.000028,
17.250000,0.000004,0.000001,0.007378,0.000018,0.000012,0.000027,
17.299999,0.000005,0.000001,0.007374,0.000018,0.000008,0.000026,
17.350000,0.000005,0.000002,0.007380,0.000018,0.000008,0.000029,
17.400000,0.000005,0.000002,0.007394,0.000019,0.000008,0.000029,
17.450001,0.000005,0.000002,0.007385,0.000021,0.000009,0.000028,
17.500000,0.000005,0.000002,0.007395,0.000027,0.000010,0.000028,
